,User_ID,Changed Field,Initial Value,Final Value,Delta,Number of Changes
2642,@drn103,Bio,"Robot Doggo, at your service. 
Loves people. 
Is here to help.","Robot Doggo, at your service. 
.Loves people
.Is here to help",-1.0,1
2682,@episunagoge,Bio,Lies are never forever; they have expiry date.,Lies are never forever; they have expiry date. Healthy people don’t need vaccines.,36.0,1
2687,@ericcoliu,Bio,"Editor, NeverEnding Story: call for haiku & tanka submissions.
Author of two award-winning books. Chen-ou Liu's haiku and tanka have won 159 awards.","Editor, NeverEnding Story: call for haiku & tanka submissions.
Author of two award-winning books. Chen-ou Liu's haiku and tanka have won 160 awards.",0.0,1
2690,@erwinloh,Bio,"MBBS, LLB(Hons), MHSM, MBA, PhD, FRACMA - President of RACMA, National Director of Medical Services at Calvary Health Care","MBBS, LLB(Hons), MHSM, MBA, PhD, FRACMA - President of the Royal Australasian College of Medical Administrators (RACMA)",-3.0,1
2697,@eyalestrin,Bio,"Author of the books ""Cloud Security Handbook"" (http://amzn.to/3xMI4Ak) and ""Security for Cloud Native Apps"" (https://bit.ly/4cyxaA6)
Opinions are my own.","Author of the books ""Cloud Security Handbook"" (https://amzn.to/42Xai9A) and ""Security for Cloud Native Apps"" (https://amzn.to/3Sggbtv)
Opinions are my own.",2.0,1
2723,@firehorse249791,Bio,"Vegan till death. The Climate Crisis is upon us. 
Mapping Collapse, Destruction and Death in precarious times. 
http://firehorse249791.bsky.social","The Climate Crisis is upon us. Back to the Stone Age we go..
Mapping Collapse, Destruction and Death in precarious times.
http://firehorse249791.bsky.social",10.0,2
2731,@fluteplay,Bio,HolyWEEK  MOVE THAT STONE DADaMarineCoolCloudyDay Nites ClickItorTicket MovieSetWatcher AA2011certw/honor undergrad Tranf4.00UC DOMINGUEZ 2027 GOunits,Blessed are the poor in spiritDADaMarineCoolCloudyDay Nites ClickItorTicket MovieSetWatcher AA2011certw/honor undergrad Tranf4.00UC DOMINGUEZ 2027 GOunits,4.0,1
2770,@get_bik,Bio,Satire & Strength Insta 6k YouTube 35K,Satire & Strength Insta 10k YouTube 35K,1.0,1
2811,@hackinarticles,Bio,"House of Pentesters

Follow us: https://linktr.ee/hackingarticles","House of Pentesters

Donation: https://buymeacoffee.com/hackingarticles",6.0,1
2838,@higherrisks,Bio,#ETF500 $IMG #RECESSION #KINFOLKS,#JobCoin #ETF500 $IMG #RECESSION #KINFOLKS,9.0,1
2987,@kozkyle21,Bio,Vigilant Savage,"Single Autistic Girl Dad | Resilient | Forward | Faith | Health, Wealth, Positivity | Patriot",78.0,1
3022,@littlejoe616,Bio,"FITNESS AND BODYBUILDING 
BUILD WITH   ANABOLIC . 
SAFETY AND GREATNESS 

#WHATSAPP: +1 (225) 494-1499","BODYBUILING COACH

THE CONQUEROR SHOP

#WHATSAPP: +1 (225) 494-1499
#Telegram",-25.0,1
3027,@lizmoneyweb,Bio,"MTG/TCG/NFT/cats/anime/
@TinyGeishaNFT
 @brunomars
 Airdrops
@somnis_world
 Overtake
 KAITO Yapper","MTG|TCG|Airdrops|cats|anime|Bruno Mars|
 Immutable Gamer | KAITO | Yap Market
@TinyGeishaNFT
  @QuaiNetwork",9.0,3
3033,@lovemoz1,Bio,"#PolynesieduCoeur #geology#zoology #AfricanWildlife MSc ResearchNCAR
#GSD #Marinebiology #BanTrophyHunting #JacksonBrownex7","#PolynesieduCoeur #geology#zoology #AfricanWildlife MSc Research NCAR
#GSD #Marinebiology #BanTrophyHunting #JacksonBrownex7",1.0,1
3060,@marketingaiart,Bio,"15yr Futures Trader
 Trading mentor 
 Helping struggling traders transform 
 DM “FUTURES” for mentorship

#futures #options #stocks #stockmarket","Trading mentor | 15+ yrs | Stocks & futures | Real results, no hype | Stop guessing, start winning | Link in bio #TradingMentor #stockmarket #trading",5.0,5
3086,@michaelEdw24186,Bio,"Showing You The Fast Track To Building Wealth Before You Get Old. TA, Charts, Market Analyst , $10k-$50k Mega Trade Challenge.https://t.me/+4rhdkCkGzLEzYzM0…","Showing You The Fast Track To Building Wealth Before You Get Old. TA, Charts, Market Analyst , $10k-$50k Mega Trade Challenge.https://t.me/+HPep1IZW8WcxMzg0…",0.0,2
3099,@missyouemmy,Bio,"Gaza Holocaust 
Welfare Not Warfare
No To NHS Privatisation
Nationalise Public Services 
Stop The Cuts
Don't Vote Labour","Gaza Holocaust .
Welfare Not Warfare.
No To NHS Privatisation.
Nationalise Public Services.
Animal lover.",-15.0,1
3103,@mitre_matos,Bio,Bot,Jesus is Lord,10.0,3
3115,@moneyisbusiness,Bio,"Stock Market Trader | Mentor
 Helping traders turn charts into #money
 Sharing  #trading #stocks #investing tips
 1-on-1 mentorship – DM to level up!","Stock Market | Ready to crush #trading?
 15yr Trader Pro | Mentored 20+ to steady profits 
 DM “FUTURES” or click  for my proven strategy #stockmarket",1.0,4
3118,@moonman_outloud,Bio,unAMPLIFIED + Militarize the Border + CTRL ALT DEPORT + It ain't a Party until they call you a Fascist + Nessun Dorma + Long Live the BACKLASH!,Militarize the Border + CTRL ALT DEPORT + It ain't a Party until they call you a Fascist + Nessun Dorma + Long Live the BACKLASH!,-14.0,1
3126,@mr_isaacs_math,Bio,"Ambassador 
@AdobeForEdu
  @BookCreatorApp
  @CanvaEdu
  @Edpuzzle
  @Grammarly
  @JustMoteHQ
  @PearDeck
  @Quizizz
  @Seesaw
  @Wakelet
  @WeVideo","Ambassador 
@AdobeForEdu
  @BookCreatorApp
  @CanvaEdu
  @Edpuzzle
  @Genially
  @JustMoteHQ
  @PearDeck
  @Quizizz
  @Seesaw
  @Wakelet
  @WeVideo",-1.0,1
3156,@nejatdemir17955,Bio,"Maried Dad 57 yr old
Türkiye #NoPolitics Sorry, I will not respond DMs. #NoPorn #NotChat #NoWar #Peace #Kindnessmatters #NoMobbing RT&likes are not endorsement.","Maried Dad #57s yr old Turkie #ZooPolitics Sorry, I do not respond DMs. #NoPorn #NoChat #NoWar #Peace #NoMobbing #Kindnessmatters  RT&likes are not endorsement.",0.0,1
3185,@obrandoncollins,Bio,"I'm that one guy your mom loves, but your sister hates. I  Jesus, America, Food & Leisure.

#Conservative #Actor #White #Bigot","Actor, Comedian, Reformed Theologian for 
@isaiah79rocks
 | Right Wing Libertarian/Conservative.

HMU if you wanna hire me: brandoncollins921@gmail.com",25.0,1
3281,@randsco,Bio,"Retired geophysicist, web-developer, firefighter, at-home dad, adventurer, blogger, trustee - UC Davis Aggie, Penn Stater & all-round good guy. 

#btc","Retired geophysicist, web-developer, firefighter, at-home dad, adventurer, blogger, trustee - UC Davis Aggie, Penn Stater & all-round good guy. 

₿",-3.0,1
3301,@realtalktruthD,Bio,I chose freedom/democracy/good trouble/facts. *Mom~#Veteranswife~#UnionStrong #NOH8 *Spacenerd*Photog~When someone shows you who they are-believe them. Vote!,I chose freedom/democracy/good trouble/facts. #Veteranswife~#UnionStrong~Mom~Politico *Spacenerd*Photog~When someone shows you who they are-believe them. Vote!,2.0,1
3310,@relegoai,Bio,Software Developer | Al Automations,Secure AI Engineer,-17.0,1
3347,@sandrinorusso74,Bio,#dallapartedeglianimali  peace and love.  #nowar,#Cuba   #DeZurdaTeam,-28.0,4
3411,@spappasa,Bio,"Professor/PhD (Ret)Colonel. Married, Father of 2, 3rd Loading      
@SETIInstitute
 Read & Judge http://bit.ly/SAPID 
@TEDx
 Out Loud Thinker.","Professor / PhD (Ret)Colonel. Married, Father of Three     
@SETIInstitute
 Read before http://bit.ly/SAPID 
@TEDx
 Out loud Thinker. http://ecity.gr",7.0,1
3428,@storj,Bio,"Cloud Services Platform: Object Storage, Object Mount, Cloud GPUs

Support: 
@storjsupport
.
Community: http://forum.storj.io

#LetsTalkStorjDCS","Disruptively fast. ‍
Globally secure.  
S3-compatible distributed cloud services that make the most demanding workflows fast and affordable.",-4.0,1
3452,@tcjposts,Bio,"Crushing Sales & Marketing Differentiation w/Next-Gen Team Readiness | Prompting AI: Strategy, Analysis & Enablement | Elite Public Speaker & Presentation Coach","Agency for Crushing B2B Tech Product Marketing, Sales Enablement & Team Readiness | Revenue-Driven, Data-Powered GTM Strategy | Blog: https://tcjpost.medium.com",0.0,1
3468,@terry_legg,Bio,"Climate Change - do not make any plans beyond 2037 Earthlings
living on wiradjuri land
older than I look, younger than I feel
proud to be WOKE","Climate Change - 2037 is make or break
living on wiradjuri land
older than I look, younger than I feel
proud to be WOKE
Northern Jets RiverinaAFL
NRL Dragons",15.0,1
3503,@thrivelabsAI,Bio,"Your Life, Your Way – Success Starts from Within  Thrive AI is your personal mentor for growth & wellness.  Enjoy 30-Days Free—No Commitment!","No waitlists. No judgment. Just real support—anytime, anywhere. Open Thrive AI and start growing, healing, and thriving—on your terms.",-7.0,1
3509,@timethief,Bio,"radical centrist, humanist, vocalist, fact-based critical thinker, pro-science, pro-choice, pro-T&R, pro-human rights  ally  
#cdnpoli #bcpoli","progressive, humanist, vocalist, fact-based critical thinker, pro-science, pro-choice, pro-T&R, pro-human rights  ally  
#cdnpoli #bcpoli",-5.0,1
3553,@unoankh,Bio,Please notice all pictures have copyright laws. I am not the owner of these pictures. I will not worship any false idols.AMEN  SUPPORT  PRESIDENT DONALD J TRUMP,Please notice all pictures have copyright laws. I am not the owner of these pictures. I will not worship any false idols.AMEN  NON VIOLENCE PRES DONALD J TRUMP,-1.0,1
3571,@vartha24,Bio,"One of  Biggest multi lingual News portal.
#News #webportal #lattestnews #allanguages #webnews #newsportal #BreakingNews #LatestUpdates #TopStories #News","One of  Biggest multi lingual News portal. News up to date, views are personal...
#News #webportal #lattestnews #allanguages #webnews #newsportal",-8.0,1
3581,@viralposts2323,Bio,"Trending Now | Viral Vibes 
 Breaking news, epic memes & must-see videos — all in one place!
Turn on the notifications bell  so you never miss a post!",Breaking News|Global News|India News|LIVE Update|Turn on the Notifications Bell |,-69.0,3
3584,@visakhabar,Bio,Visa Khabar - Your Ultimate Visa News Destination! #visa and #immigration Khabar from #Nepal,Visa Khabar - Trending News & Immigration Khabar in Nepali,-34.0,1
3630,@xcware,Bio,"We provide a modern computing platform designed for flexibility, enhancing your innovation both in the cloud and on-premises, empowering your future!","The only computing platform that unifies cloud, edge, and on-premises. 

#SkyComputing #CloudComputing #BigData #AI #VDI #MultiCloud #Edge #IoT #LLM #AWS #Azure",11.0,1
3635,@xntrix2022,Bio,"Good luck to a gambler who has lost everything except the desire to bet one last time. FUCK ziopaths.  No DM!
🅳🅳🆈🆂🆃🅸🅽🅸🅽🆂 
#Paddystinians",Good luck to a gambler who has lost everything except the desire to bet one last time. #Israel #ChildKillers,-28.0,1
